name,description,url,rating,latitude,longitude
LESEHAN APPARTEMENT AIGUES MORTES Vue Remparts,,https://www.booking.com/hotel/fr/appartement-70m2-vue-rempart.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,7",,
"Chambre d'hôtes villa Adoya dans les remparts, piscine, ascenseur",,https://www.booking.com/hotel/fr/chambre-d-hotes-adoya.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,3",,
Maison des Croisades,"Possédant une terrasse, l’établissement Maison des Croisades vous accueille à Aigues-Mortes dans la région Languedoc-Roussillon, à respectivement 22 km et 23 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. Cet hôtel 3 étoiles propose un jardin ainsi que des hébergements dotés de la climatisation, d’une connexion Wi-Fi gratuite et d’une salle de bains privative. Cet hôtel comprend des chambres familiales.

Les hébergements possèdent un bureau. Les hébergements disposent d'un sèche-cheveux, et certains comprennent également un coin salon. Vous profiterez d'une télévision à écran plat et d'articles de toilette gratuits.

Un petit-déjeuner continental est servi sur place.

La région est prisée des amateurs de vélo et l’établissement Maison des Croisades assure un service de location de vélos.

Vous séjournerez à respectivement 27 km et 28 km de ces lieux d’intérêt : Zénith Sud Montpellier et Centre commercial régional Odysseum. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/des-croisades.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,8",43.5689974,4.18829819999996
La Paloma,"L’hébergement 4 étoiles La Paloma vous accueille à Aigues-Mortes, dans la région Languedoc-Roussillon. Il propose une connexion Wi-Fi gratuite. Cet hébergement est installé à 22 km de : Parc des expositions de Montpellier. Il comprend une terrasse et un parking privé gratuit.

Cette maison de vacances avec climatisation se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à respectivement 23 km et 27 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/la-paloma-aigues-mortes.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,0",43.570060078914906,4.187177796820038
27 côté remparts,,https://www.booking.com/hotel/fr/27-cote-remparts.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,4",,
Hôtel les jardins du canal - piscine chauffée - parking - garage - bornes électriques,,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,7",,
Hôtel Le Médiéval,"L'Hôtel Le Médiéval est situé sur les rives du canal d'Aigues-Mortes, à 30 km de Montpellier. Il propose des chambres pourvues d'une salle de bains privative, d'un parking gratuit et d'une piscine extérieure.

L'Hôtel Le Médiéval propose chaque jour un petit-déjeuner buffet continental qui peut être dégusté sur la terrasse quand le temps le permet. Une connexion Wi-Fi est disponible gratuitement dans les parties communes.

Un parking privé gratuit est disponible sur place. Une promenade de 2 minutes vous mènera aux remparts médiévaux.",https://www.booking.com/hotel/fr/le-medieval.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,9",43.57186625316511,4.19366168974193
Résidence Odalys Fleur de Sel,"Situé à Aigues-Mortes, à 5 minutes à pied du centre-ville historique, l'établissement Résidence Odalys Fleur de Sel dispose d'une piscine extérieure chauffée ouverte en saison. Vous bénéficierez gratuitement d'une connexion Wi-Fi.

Répartis en petits duplex, tous les appartements comportent une salle de bains privative, un salon muni d'une télévision à écran plat et une kitchenette entièrement équipée. Certains comprennent également une terrasse ou un balcon.

La Résidence Odalys Fleur de Sel est implantée à 25 km de Montpellier. L'aéroport de Montpellier - Méditerranée se trouve, quant à lui, à 18 km. Vous pourrez profiter gratuitement d'un parking extérieur.",https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,4",43.574094,4.179246
La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue,"Situé à Aigues-Mortes, l’hébergement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue offre une vue sur le lac. Il comprend une piscine extérieure, une terrasse, un casino et une connexion Wi-Fi gratuite. Cette villa possède une piscine privée, un jardin et un parking privé gratuit.

Cette villa avec climatisation comprend 3 chambres, ainsi que 2 salles de bains possédant une douche, un bain à remous et des articles de toilette gratuits. La cuisine est pourvue d’un réfrigérateur, d’un lave-vaisselle et d’un four. Elle est également dotée d’une machine à café et d’une bouilloire.

Le personnel de la réception ouverte 24h/24 se fera un plaisir de vous renseigner sur les environs.

L’établissement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue dispose d’un bain à remous. L’établissement La Perle Rose Villa Standing 5 étoiles avec piscine jacuzzi et superbe vue dispose d’un parc aquatique.

Vous séjournerez à respectivement 24 km et 25 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 30 km.",https://www.booking.com/hotel/fr/la-perle-rose-aigues-mortes.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,9",43.562118844645575,4.185999394659428
Résidence Odalys Le Mas des Flamants,,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,4",,
